,city,population,violent_crime,murder,rape,robbery,assault,property_crime,burglary,larceny,gta,arson
65,East Greenville,2962,0,0,0,0,0,10,1,9,0,0
66,East Taylor Township,2488,2,0,0,0,2,13,4,8,1,0
67,Eddystone,2404,21,0,1,4,16,176,6,164,6,1
68,Edgeworth,1647,0,0,0,0,0,0,0,0,0,0
69,Elderton,338,0,0,0,0,0,0,0,0,0,0
70,Elizabeth,1966,3,0,0,0,3,1,0,1,0,0
71,Elizabeth Township,12991,12,0,3,1,8,84,14,68,2,1
72,Elkland,1742,3,0,0,0,3,17,3,13,1,1
73,Emporium,1806,5,0,0,0,5,14,1,13,0,0
74,Ephrata Township,10483,8,0,1,2,5,149,8,133,8,0
75,Erie,95834,476,9,54,93,320,1817,342,1379,96,33
76,Etna,3324,6,0,0,1,5,44,4,35,5,0
77,Fawn Township,2304,2,0,0,0,2,12,1,9,2,0
78,Fayette City,555,0,0,0,0,0,1,0,1,0,0
79,Ford City,2770,4,0,1,2,1,31,3,25,3,0
80,Forest City,1741,1,0,0,0,1,13,2,11,0,2
81,Forks Township,15741,4,0,4,0,0,141,2,137,2,0
82,"Foster Township, McKean County",4047,4,0,1,1,2,21,6,15,0,1
83,Frackville,3609,6,0,0,0,6,20,4,16,0,0
84,"Franklin Township, Columbia County",583,3,0,0,1,2,0,0,0,0,0
85,Greene County Regional Police Department,5250,1,0,0,0,1,40,9,28,3,0
86,Grove City,7840,9,1,2,0,6,31,5,25,1,0
87,Hanover,15707,37,0,1,13,23,300,26,269,5,2
88,Harrisburg,49195,443,13,36,160,234,1069,229,728,112,13
89,Harveys Lake,2768,0,0,0,0,0,13,1,11,1,0
90,Hastings,1171,0,0,0,0,0,8,1,7,0,0
91,Hilltown Township,15589,13,0,5,1,7,116,8,103,5,0
92,Hughestown,1375,1,0,0,0,1,5,1,4,0,0
93,"Independence Township, Beaver County",2342,2,0,0,0,2,11,1,10,0,0
94,Indiana,12974,88,0,10,6,72,142,19,122,1,0
95,Ingram,3212,5,0,0,1,4,19,4,15,0,0
96,Ivyland,1039,0,0,0,0,0,4,2,2,0,0
97,"Jackson Township, Cambria County",4041,4,0,0,0,4,7,0,7,0,1
98,"Jackson Township, Luzerne County",4638,0,0,0,0,0,7,1,5,1,0
99,Jefferson Hills Borough,11211,25,0,0,1,24,62,6,53,3,0
100,Kingston Township,6882,4,0,0,0,4,34,2,31,1,0
101,"Lancaster Township, Butler County",2683,1,0,0,0,1,2,2,0,0,0
102,"Lancaster Township, Lancaster County",17176,21,1,2,3,15,343,16,299,28,0
103,Langhorne Borough,1580,2,0,0,0,2,6,0,6,0,0
104,Langhorne Manor,1428,0,0,0,0,0,2,1,1,0,0
105,Lansdale,16759,23,0,3,3,17,177,10,164,3,0
106,Lansdowne,10621,18,0,3,9,6,244,23,201,20,0
107,Lansford,3800,26,0,1,2,23,82,14,62,6,0
108,Latimore Township,2621,4,0,0,1,3,15,8,7,0,0
109,Lawrence Park Township,3755,5,0,0,0,5,2,1,1,0,0
110,Lebanon,25959,65,1,5,21,38,528,77,430,21,1
111,Leetsdale,1173,2,0,0,0,2,28,5,21,2,0
112,Lehighton,5309,23,0,1,2,20,79,21,49,9,1
113,Lower Allen Township,19650,26,0,7,3,16,255,12,240,3,1
114,Lower Burrell,11077,16,0,5,1,10,105,2,102,1,0
115,Lower Heidelberg Township,6192,7,0,0,1,6,13,2,11,0,0
116,Lower Merion Township,59796,29,0,2,19,8,874,78,762,34,1
117,Lower Salford Township,15534,0,0,0,0,0,49,3,45,1,1
118,Luzerne Township,5896,0,0,0,0,0,0,0,0,0,0
119,"Mahoning Township, Carbon County",4232,20,0,0,1,19,102,10,90,2,0
120,"Mahoning Township, Lawrence County",2875,1,0,0,0,1,0,0,0,0,0
121,Malvern,3506,2,0,0,0,2,15,3,10,2,0
122,Manheim,4859,25,0,4,2,19,70,11,53,6,0
123,"Manor Township, Armstrong County",4053,1,0,0,0,1,2,0,2,0,0
124,"Manor Township, Lancaster County",21059,8,0,1,2,5,119,23,91,5,0
125,Mansfield,2940,2,0,0,0,2,4,0,4,0,0
126,"Marion Township, Beaver County",872,0,0,0,0,0,3,1,2,0,0
