,city,population,violent_crime,murder,rape,robbery,assault,property_crime,burglary,larceny,gta,arson
206,Lacey Township,29247,25,0,4,4,17,265,29,233,3,1
207,Lake Como,1685,1,0,0,1,0,16,2,11,3,0
208,Lakehurst,2701,5,0,0,2,3,18,0,16,2,0
209,Lakewood Township,105403,148,1,11,45,91,965,253,675,37,4
210,Lambertville,3782,1,0,1,0,0,26,2,24,0,0
211,Laurel Springs,1860,2,0,0,1,1,19,6,12,1,0
212,Lavallette,1846,0,0,0,0,0,39,2,34,3,0
213,Lawnside,2874,6,0,0,0,6,104,10,92,2,0
214,"Lawrence Township, Mercer County",32415,45,0,10,11,24,493,83,388,22,2
215,Lebanon Township,6061,2,0,0,0,2,17,3,12,2,0
216,Leonia,9088,3,0,1,0,2,51,11,38,2,0
217,Lincoln Park,10162,2,0,0,0,2,46,8,32,6,0
218,Linden,42592,159,0,21,44,94,1228,110,1079,39,4
219,Lindenwold,17197,123,0,16,50,57,492,124,334,34,3
220,Linwood,6697,2,0,0,0,2,92,10,78,4,0
221,Little Egg Harbor Township,21508,18,0,2,3,13,206,36,164,6,1
222,Little Falls Township,14513,20,0,0,0,20,89,12,70,7,0
223,Little Ferry,10794,9,1,0,2,6,83,12,55,16,0
224,Little Silver,5793,2,0,0,0,2,34,1,25,8,0
225,Livingston Township,29998,6,0,3,1,2,353,26,301,26,0
226,Loch Arbour,179,0,0,0,0,0,14,1,13,0,0
227,Lodi,24488,35,0,2,6,27,273,31,200,42,1
228,Logan Township,5854,5,0,1,2,2,105,13,85,7,0
229,Long Beach Township,3060,10,0,5,0,5,78,6,70,2,0
230,Long Branch,30352,109,0,11,23,75,625,60,538,27,0
231,Long Hill Township,8500,3,0,1,0,2,45,3,40,2,0
232,Longport,854,1,0,0,0,1,10,3,7,0,0
233,Lopatcong Township,8350,4,0,0,0,4,99,5,90,4,0
234,Lower Alloways Creek Township,1663,1,0,0,0,1,3,0,3,0,0
235,Lower Township,21325,41,0,10,2,29,149,30,113,6,0
236,Lumberton Township,12162,22,0,2,4,16,174,11,153,10,0
237,Lyndhurst Township,22741,13,0,0,6,7,150,5,127,18,0
238,Madison,16533,1,0,0,0,1,70,11,52,7,0
239,Magnolia,4247,13,0,0,5,8,76,26,46,4,0
240,Mahwah Township,26317,8,0,3,0,5,115,10,90,15,1
241,Manalapan Township,39662,18,1,11,2,4,226,36,173,17,0
242,Manasquan,5839,7,0,3,0,4,88,3,82,3,0
243,Manchester Township,43369,12,3,0,3,6,278,51,215,12,2
244,"Mansfield Township, Burlington County",8520,8,0,0,3,5,46,10,26,10,0
245,"Mansfield Township, Warren County",7347,3,0,1,0,2,83,5,76,2,0
246,Mantoloking,252,0,0,0,0,0,5,0,3,2,0
247,Mantua Township,14779,3,0,0,0,3,212,30,169,13,2
248,Manville,10205,6,0,4,1,1,218,14,197,7,0
249,Maple Shade Township,18451,54,1,8,17,28,344,41,272,31,0
250,Maplewood Township,25297,22,2,3,13,4,435,22,365,48,0
251,Margate City,5912,6,0,0,2,4,140,55,84,1,1
252,Marlboro Township,39850,9,0,0,2,7,273,38,212,23,1
253,Matawan,8716,0,0,0,0,0,5,0,5,0,0
254,Maywood,9667,6,0,0,2,4,62,7,54,1,0
255,Medford Lakes,3922,3,0,0,0,3,16,4,12,0,0
256,Medford Township,23393,19,0,4,1,14,134,30,101,3,1
257,Mendham,4876,0,0,0,0,0,20,1,14,5,0
258,Mendham Township,5700,1,0,0,0,1,11,3,6,2,0
259,Merchantville,3687,4,0,0,0,4,59,9,48,2,0
260,Metuchen,14423,11,0,0,4,7,165,31,124,10,0
261,Middlesex Borough,13659,6,0,0,2,4,55,4,47,4,1
262,Middle Township,18225,34,0,6,7,21,303,54,232,17,2
263,Middletown Township,65361,22,0,4,2,16,354,38,294,22,0
264,Midland Park,7246,2,0,0,0,2,38,0,34,4,0
265,Millburn Township,20085,6,0,0,5,1,434,23,374,37,0
266,Milltown,7020,2,0,0,2,0,84,2,80,2,0
267,Millville,27528,130,2,14,50,64,1107,154,925,28,6
268,Mine Hill Township,3501,2,0,0,1,1,12,3,8,1,0
269,Monmouth Beach,3222,2,0,0,0,2,8,0,8,0,0
270,"Monroe Township, Gloucester County",36884,26,1,1,12,12,425,88,313,24,1
271,"Monroe Township, Middlesex County",45342,19,0,0,0,19,116,18,89,9,0
272,Montclair,38625,58,1,9,17,31,476,106,335,35,1
273,Montgomery Township,23364,5,0,0,0,5,111,62,39,10,0
274,Montvale,8657,1,0,0,0,1,26,1,24,1,0
275,Montville Township,21208,4,0,0,0,4,172,11,137,24,0
276,Moonachie,2736,0,0,0,0,0,28,1,26,1,1
277,Moorestown Township,20307,18,0,3,4,11,200,24,166,10,0
278,Morris Plains,5935,2,0,0,0,2,71,3,65,3,0
279,Morristown,19153,41,0,5,9,27,170,9,157,4,2
280,Morris Township,22080,8,0,0,0,8,96,22,70,4,0
281,Mountain Lakes,4269,0,0,0,0,0,28,10,11,7,0
